!
! Model atmospheres, synthetic spectra and photometry
! Baraffe, Homeier, Allard, Chabrier 2015, accepted by A&A:
! "New evolutionary models for pre-main sequence and main sequence low-mass stars down to the hydrogen-burning limit"
!
! Isochrones of the models from:
!
! Chabrier, Baraffe, Allard, Hauschildt, 2000, ApJ 542, 464
! "Evolutionary models for very-low-mass stars and brown dwarfs with dusty atmospheres"
! Baraffe, Chabrier, Allard, Hauschildt, 2002, A&A 382, 563
! "Evolutionary models for low-mass stars and brown dwarfs: uncertainties and limits at very young ages"
!
! logL: log L/Lsun
! radius : R/Rsun
! Li_Li0: ratio of photospheric lithium abundance to initial abundance
!
! photospheric magnitudes for SPHERE_IRDIS filter transmissions from Nov. 2014 (A. Vigan, priv. comm.)
! + atmospheric transmission for Paranal at 3.0mm H2O, airmass=2.0 from VISTA calibration
!
!Teff log g [M/H]  R/Rs D[pc] B_Y     B_J     B_H     B_Ks    B_ND-H  D_Y2    D_Y3    D_J2    D_J3    D_H2    D_H3    D_H4    D_K1    D_K2    N_BrG   N_CO    N_CntH  N_CntJ  N_CntK1 N_CntK2 N_FeII  N_H2    N_HeI   N_PaB    J-H    H-Ks  (SPHERE IRDIS)
!  absolute magnitudes for isochronal radii
!


!-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
!  t (Gyr) =   0.001
!-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
!    mass     Teff    logL   logg  radius  Li_Li0     B_Y     B_J     B_H    B_Ks  B_ND-H    D_Y2    D_Y3    D_J2    D_J3    D_H2    D_H3    D_H4    D_K1    D_K2   N_BrG    N_CO  N_CntH  N_CntJ  N_CntK1  N_CntK2  N_FeII    N_H2   N_HeI   N_PaB 
  0.0070   1426.0  -4.090  3.940   0.149   1.000  14.807  13.782  12.438  11.449  12.431  14.938  14.571  13.998  13.529  12.400  12.225  12.219  11.481  11.359  11.312  11.410  12.477  13.823   11.535   11.331  12.258  11.431  14.507  13.448 
  0.0080   1536.0  -3.940  3.980   0.152   1.000  14.685  13.553  12.215  11.097  12.208  14.837  14.438  13.829  13.296  12.247  11.993  11.960  11.210  10.954  11.022  10.936  12.328  13.649   11.266   10.916  12.058  11.171  14.312  13.196 
  0.0100   1608.0  -3.810  4.020   0.162   1.000  14.293  13.121  11.871  10.781  11.863  14.447  14.037  13.452  12.833  11.908  11.600  11.625  10.910  10.619  10.698  10.606  12.005  13.223   10.978   10.577  11.677  10.865  13.858  12.723 
  0.0120   1801.0  -3.580  4.070   0.167   1.000  13.221  11.963  10.984  10.232  10.975  13.359  12.961  12.451  11.602  11.010  10.559  10.792  10.384  10.038  10.108  10.058  11.171  12.073   10.484    9.990  10.656  10.322  12.633  11.475 
  0.0150   2168.0  -3.140  4.050   0.192   1.000  11.326  10.428   9.860   9.343   9.852  11.414  11.105  10.743  10.155   9.861   9.483   9.695   9.517   9.134   9.234   9.136   9.998  10.465    9.618    9.081   9.565   9.455  10.834  10.051 
  0.0200   2487.0  -2.700  3.970   0.243   1.000  10.024   9.336   8.835   8.405   8.829  10.111   9.833   9.520   9.140   8.837   8.554   8.683   8.554   8.229   8.327   8.211   8.933   9.363    8.629    8.183   8.618   8.511   9.671   9.054 
  0.0300   2667.0  -2.490  4.050   0.270   1.000   9.449   8.843   8.340   7.957   8.335   9.533   9.272   8.985   8.678   8.344   8.104   8.201   8.090   7.803   7.893   7.780   8.425   8.871    8.151    7.760   8.159   8.058   9.163   8.598 
  0.0400   2754.0  -2.420  4.170   0.272   1.000   9.281   8.699   8.182   7.826   8.177   9.368   9.111   8.827   8.546   8.186   7.966   8.050   7.949   7.683   7.766   7.659   8.258   8.728    8.005    7.642   8.016   7.921   9.018   8.470 
  0.0500   2839.0  -2.300  4.200   0.294   1.000   8.999   8.439   7.919   7.579   7.915   9.083   8.836   8.560   8.294   7.924   7.717   7.792   7.696   7.443   7.522   7.419   7.991   8.470    7.748    7.403   7.764   7.671   8.753   8.220 
  0.0550   2875.0  -2.240  4.200   0.307   1.000   8.853   8.301   7.779   7.448   7.774   8.936   8.693   8.419   8.159   7.783   7.579   7.652   7.565   7.314   7.392   7.290   7.849   8.332    7.615    7.275   7.625   7.540   8.613   8.085 
